,tokens,lemma,postag
0,kapatid|NNC,kapatid,NNC
1,Pinapabayaan|VBTR,Pinapabayaan,VBTR
2,simangot|NNC,simangot,NNC
3,Ipagpaumanhin|VBOB,Ipagpaumanhin,VBOB
4,Tumalon|NNP,Tumalon,NNP
5,nagkakaroon|VBTR,nagkakaroon,VBTR
6,pintuan|NNC,pintuan,NNC
7,Naku|NNP,Naku,NNP
8,Tumawa|VBAF,Tumawa,VBAF
9,inang|NNC_CCP,inang,NNC_CCP
10,Ihinagis|VBTS,Ihinagis,VBTS
11,baso|NNC,baso,NNC
12,mapangiti|VBW,mapangiti,VBW
13,mo.|NNCA,mo.,NNCA
14,SIL|NNPA,SIL,NNPA
15,amin|PRSP,amin,PRSP
16,usok|NNC,usok,NNC
17,iisip|FW,iisip,FW
18,Woooooosh|NNP,Woooooosh,NNP
19,naglalaro|VBTR,naglalaro,VBTR
20,kutsara|NNC,kutsara,NNC
21,manananim|VBW,manananim,VBW
22,magbilang|VBAF,magbilang,VBAF
23,Pareho|JJC,Pareho,JJC
24,krayola|NNC,krayola,NNC
25,paligid|NNC,paligid,NNC
26,Nakatira|VBTS,Nakatira,VBTS
27,parin|VBOF,parin,VBOF
28,naglaro|VBTS,naglaro,VBTS
29,bulong|NNC,bulong,NNC
30,bunga|NNC,bunga,NNC
31,Nadala|VBTS,Nadala,VBTS
32,Nanay|NNP,Nanay,NNP
33,Maawa|VBTF,Maawa,VBTF
34,paghinga|NNC,paghinga,NNC
35,Galit|JJD,Galit,JJD
36,bumalik|VBAF,bumalik,VBAF
37,Nagmamadaling|RBD_CCP,Nagmamadaling,RBD_CCP
38,makakatulong|VBTF,makakatulong,VBTF
39,Nilunod|VBTS,Nilunod,VBTS
40,Nagbabasa|VBTR,Nagbabasa,VBTR
41,palagi|RBW,palagi,RBW
42,Ibibigay|VBOF,Ibibigay,VBOF
43,marahan|JJD,marahan,JJD
44,lupain|NNC,lupain,NNC
45,Pa|NNC,Pa,NNC
46,maglaro|VBAF,maglaro,VBAF
47,unahan|CDB,unahan,CDB
48,nakaupo|VBTS,nakaupo,VBTS
49,paglaro|VBW,paglaro,VBW
50,Nanlaki|VBTS,Nanlaki,VBTS
51,Unti|NNP,Unti,NNP
52,balita|NNC,balita,NNC
53,Maraming|PRI_CCP,Maraming,PRI_CCP
54,nakahinga|RBD,nakahinga,RBD
55,naman|RBI,naman,RBI
56,Ramos|NNP,Ramos,NNP
57,pinakawalan|VBOF,pinakawalan,VBOF
58,Kaagad|RBD,Kaagad,RBD
59,sandali|NNC,sandali,NNC
60,kang|PRS_CCP,kang,PRS_CCP
61,nag|PRSP_CCP,nag,PRSP_CCP
62,balyena|NNC,balyena,NNC
63,hanging|NNC_CCP,hanging,NNC_CCP
64,gagawa|VBTF,gagawa,VBTF
65,bilang|CCT,bilang,CCT
66,senyales|NNC,senyales,NNC
67,grado|NNC,grado,NNC
68,ko|PRS,ko,PRS
69,ginagawa|VBTR_VBOF,ginagawa,VBTR_VBOF
70,Sila|PRP,Sila,PRP
71,tanim|NNC,tanim,NNC
72,Tamsi|NNP,Tamsi,NNP
73,Kailangan|VBS,Kailangan,VBS
74,naghabulan|VBTS,naghabulan,VBTS
75,ulap|NNC,ulap,NNC
76,paunahan|VBOF,paunahan,VBOF
77,Ito|PRO,Ito,PRO
78,lagi|RBW,lagi,RBW
79,malaglag|VBW,malaglag,VBW
80,kabila|JJD,kabila,JJD
81,uminom|VBAF,uminom,VBAF
82,ihip|FW,ihip,FW
83,pangkulay|JJD,pangkulay,JJD
84,Kapag|CCR,Kapag,CCR
85,nilang|PRP_CCP,nilang,PRP_CCP
86,kusina|NNC,kusina,NNC
87,Pinapasabay|VBTR,Pinapasabay,VBTR
88,",|PMC",",",PMC
89,tahimik|JJD,tahimik,JJD
90,meryenda|NNC,meryenda,NNC
91,niyog|NNC,niyog,NNC
92,Nakahuli|VBTS,Nakahuli,VBTS
93,kalungkutang|NNC_CCP,kalungkutang,NNC_CCP
94,Sakay|NNP,Sakay,NNP
95,nasagot|VBTS,nasagot,VBTS
96,publishing|FW,publishing,FW
97,nalulunod|VBTR,nalulunod,VBTR
98,Tinawag|VBOF,Tinawag,VBOF
99,plano|NNC,plano,NNC
100,nating|PRP_CCP,nating,PRP_CCP
101,nakasama|VBTS,nakasama,VBTS
102,gaganda|VBTF,gaganda,VBTF
103,kamote|NNC,kamote,NNC
104,baboy|NNC,baboy,NNC
105,Edu|NNP,Edu,NNP
106,sinabihan|VBTS,sinabihan,VBTS
107,nasisiyahan|VBTR,nasisiyahan,VBTR
108,panay|JJD,panay,JJD
109,Pagyayaya|VBW,Pagyayaya,VBW
110,Mga|DTCP,Mga,DTCP
111,Habang|RBW,Habang,RBW
112,.|PMP,.,PMP
113,Ningning|VBTS,Ningning,VBTS
114,sumusunod|VBTR_VBAF,sumusunod,VBTR_VBAF
115,dahan|NNC,dahan,NNC
116,basag|NNC,basag,NNC
117,magsialisan|VBW,magsialisan,VBW
118,matulog|VBW,matulog,VBW
119,kamoteng|NNC,kamoteng,NNC
120,napakakintab|JJCS_JJD,napakakintab,JJCS_JJD
121,nanginginig|VBTR,nanginginig,VBTR
122,kaharian|NNC,kaharian,NNC
123,kayang|RBD_CCP,kayang,RBD_CCP
124,Gugurang|NNP,Gugurang,NNP
125,walang|RBF,walang,RBF
126,umimik|VBAF,umimik,VBAF
127,gumising|FW,gumising,FW
128,nagpunta|VBTS,nagpunta,VBTS
129,animal|FW,animal,FW
130,Parang|CCT,Parang,CCT
131,inyong|PRSP_CCP,inyong,PRSP_CCP
132,nagsisinungaling|VBTR,nagsisinungaling,VBTR
133,insektong|JJD_CCP,insektong,JJD_CCP
134,pinupulot|VBTR,pinupulot,VBTR
135,tanong|NNC,tanong,NNC
136,inutusan|VBOF,inutusan,VBOF
137,Aayusin|VBOF,Aayusin,VBOF
138,paruparo|RBD,paruparo,RBD
139,aalala|NNC,aalala,NNC
140,Naisip|VBTS,Naisip,VBTS
141,lumilipad|VBTR_VBAF,lumilipad,VBTR_VBAF
142,sinuman|PRQ,sinuman,PRQ
143,Nagdiwang|VBTS,Nagdiwang,VBTS
144,pinagtataguan|VBTR_VBRF,pinagtataguan,VBTR_VBRF
145,≡ƒÄö|PMS,≡ƒÄö,PMS
146,rescue|FW,rescue,FW
147,tansan|NNC,tansan,NNC
148,Kanina|RBW,Kanina,RBW
149,malapad|JJD,malapad,JJD
150,nagsilantahan|VBTS,nagsilantahan,VBTS
151,tumawag|VBAF,tumawag,VBAF
152,Hinarap|VBTS,Hinarap,VBTS
153,regalo|NNC,regalo,NNC
154,alis|NNC,alis,NNC
155,matandang|JJD_CCP,matandang,JJD_CCP
156,Manila|NNP,Manila,NNP
157,misa|NNC,misa,NNC
158,ibabaw|JJD,ibabaw,JJD
159,wala|VBN,wala,VBN
160,kabilang|JJD_CCP,kabilang,JJD_CCP
161,tumawa|VBAF,tumawa,VBAF
162,Bentong|RBJ,Bentong,RBJ
163,tinawag|VBOF,tinawag,VBOF
164,akda|NNC,akda,NNC
165,iisa|JJD,iisa,JJD
166,lobo|NNC,lobo,NNC
167,lipad|NNC,lipad,NNC
168,bumuhos|VBAF,bumuhos,VBAF
169,nito|PRO,nito,PRO
170,kina|DTPP,kina,DTPP
171,Mula|RBW,Mula,RBW
172,Tuwing|RBW,Tuwing,RBW
173,Ali|NNP,Ali,NNP
174,Bigla|RBD,Bigla,RBD
175,muna|RBI,muna,RBI
176,maamong|JJD_CCP,maamong,JJD_CCP
177,yan|PRO,yan,PRO
178,magbantay|VBW,magbantay,VBW
179,Ay|NNP,Ay,NNP
180,makagalaw|VBTF,makagalaw,VBTF
181,hinihiling|VBTR,hinihiling,VBTR
182,papelastika|NNC,papelastika,NNC
183,Tandang|NNP,Tandang,NNP
184,Simula|RBW,Simula,RBW
185,magdidilim|VBTF,magdidilim,VBTF
186,makukulay|JJD,makukulay,JJD
187,nakinig|VBTS,nakinig,VBTS
188,Tatawagin|VBTF_VBOF,Tatawagin,VBTF_VBOF
189,sapagkat|CCR,sapagkat,CCR
190,nagdadausdos|VBTR,nagdadausdos,VBTR
191,lugar|NNC,lugar,NNC
192,Sumunod|VBAF,Sumunod,VBAF
193,subalit|CCT,subalit,CCT
194,nangangailangan|VBTR,nangangailangan,VBTR
195,naipit|VBTS,naipit,VBTS
196,naghahapunan|VBTR,naghahapunan,VBTR
197,talisay|NNC,talisay,NNC
198,pares|NNC,pares,NNC
199,imik|NNC,imik,NNC
200,presyo|NNC,presyo,NNC
201,Lumakad|VBAF,Lumakad,VBAF
202,makababa|VBW,makababa,VBW
203,Napapikit|VBTS,Napapikit,VBTS
204,sabi|NNC,sabi,NNC
205,nasilayan|VBTS,nasilayan,VBTS
206,Siya|PRS,Siya,PRS
207,Alas|NNP,Alas,NNP
208,Nakatutuwa|RBD,Nakatutuwa,RBD
209,baba|JJD,baba,JJD
210,makapatubo|VBW,makapatubo,VBW
211,laing|NNC,laing,NNC
212,tanging|JJD_CCP,tanging,JJD_CCP
213,para|CCT,para,CCT
214,Aba|NNCA,Aba,NNCA
215,babae|NNC,babae,NNC
216,iisa|PRI,iisa,PRI
217,tawag|NNC,tawag,NNC
218,aaya|NNC,aaya,NNC
219,pa|RBI,pa,RBI
220,Ibinalik|VBTS,Ibinalik,VBTS
221,Kinaumagahan|NNP,Kinaumagahan,NNP
222,Grrrrr|NNP,Grrrrr,NNP
223,maghugas|VBW,maghugas,VBW
224,natigil|VBTS,natigil,VBTS
225,Asog|NNP,Asog,NNP
226,tribo|NNC,tribo,NNC
227,saliw|NNC,saliw,NNC
228,nila|PRP,nila,PRP
229,Aha|NNP,Aha,NNP
230,unti|JJD,unti,JJD
231,Sige|RBT,Sige,RBT
232,gawaing|NNC_CCP,gawaing,NNC_CCP
233,samang|NNC_CCP,samang,NNC_CCP
234,ibabaw|NNC,ibabaw,NNC
235,kalaro|NNC,kalaro,NNC
236,mapupulang|JJD_CCP,mapupulang,JJD_CCP
237,ideya|NNC,ideya,NNC
238,maubos|VBW,maubos,VBW
239,nakikinig|VBTR,nakikinig,VBTR
240,nanood|VBTS,nanood,VBTS
241,masasaktan|VBW,masasaktan,VBW
242,magtatagal|VBTF,magtatagal,VBTF
243,miss|FW,miss,FW
244,Hinihiwa|NNP,Hinihiwa,NNP
245,nakikipag|VBTR,nakikipag,VBTR
246,Kumusta|NNP,Kumusta,NNP
247,Isa|PRI,Isa,PRI
248,panaginip|NNC,panaginip,NNC
249,tayo|PRP,tayo,PRP
250,ilaw|NNC,ilaw,NNC
251,ginaya|VBOF,ginaya,VBOF
252,restawran|NNC,restawran,NNC
253,kahon|NNC,kahon,NNC
254,puwede|RBT,puwede,RBT
255,paibabaw|NNC,paibabaw,NNC
256,maluwag|JJD,maluwag,JJD
257,mamasyal|VBW,mamasyal,VBW
258,makakita|VBW,makakita,VBW
259,karagatan|NNC,karagatan,NNC
260,magkakaroon|VBTF,magkakaroon,VBTF
261,dalawang|JJN_CCP,dalawang,JJN_CCP
262,Balabaw|NNP,Balabaw,NNP
263,inoobserbahan|VBTR,inoobserbahan,VBTR
264,Grabe|NNP,Grabe,NNP
265,ganap|RBD,ganap,RBD
266,dagang|NNC_CCP,dagang,NNC_CCP
267,Philippines|NNP,Philippines,NNP
268,Romeo|NNP,Romeo,NNP
269,hamon|NNC,hamon,NNC
270,sako|NNC,sako,NNC
271,ABC|NNPA,ABC,NNPA
272,ingay|NNC,ingay,NNC
273,Natuwa|VBTS,Natuwa,VBTS
274,Batuan|NNP,Batuan,NNP
275,anim|JJN,anim,JJN
276,magsimba|VBW,magsimba,VBW
277,pamilya|NNC,pamilya,NNC
278,itinapon|VBTS,itinapon,VBTS
279,maasim|JJD,maasim,JJD
280,tayong|PRP_CCP,tayong,PRP_CCP
281,gamit|NNC,gamit,NNC
282,kanan|JJD,kanan,JJD
283,anong|PRQ_CCP,anong,PRQ_CCP
284,parte|NNC,parte,NNC
285,talunan|NNC,talunan,NNC
286,a|FW,a,FW
287,inihayag|VBTS,inihayag,VBTS
288,mabilis|JJD,mabilis,JJD
289,nag|VBTS,nag,VBTS
290,sibuyas|NNC,sibuyas,NNC
291,sinabing|VBTS,sinabing,VBTS
292,nangatog|VBTS,nangatog,VBTS
293,puputok|VBTF,puputok,VBTF
294,papel|NNC,papel,NNC
295,:|PMS,:,PMS
296,saan|RBQ,saan,RBQ
297,makangiti|VBW,makangiti,VBW
298,Hamon|NNP,Hamon,NNP
299,Words|NNP,Words,NNP
300,makipaglaro|VBW,makipaglaro,VBW
301,iyak|NNC,iyak,NNC
302,Dagling|NNP,Dagling,NNP
303,mahigpit|JJD,mahigpit,JJD
304,Ikaw|NNP,Ikaw,NNP
305,anu|FW,anu,FW
306,namamasyal|VBTR,namamasyal,VBTR
307,tumigil|VBAF,tumigil,VBAF
308,tingin|NNC,tingin,NNC
309,Ma|NNCA,Ma,NNCA
310,ninyong|NNC_CCP,ninyong,NNC_CCP
311,Pinulot|VBOF,Pinulot,VBOF
312,bayan|NNC,bayan,NNC
313,lima|CDB,lima,CDB
314,Naririnig|VBTR,Naririnig,VBTR
315,Creative|NNP,Creative,NNP
316,approved|FW,approved,FW
317,usupan|NNC,usupan,NNC
318,hilurin|FW,hilurin,FW
319,Dito|PRL,Dito,PRL
320,Dinala|VBOF,Dinala,VBOF
321,tirahan|NNC,tirahan,NNC
322,ΓÇÖ|PMS,ΓÇÖ,PMS
323,agos|NNC,agos,NNC
324,Matatanaw|VBTF,Matatanaw,VBTF
325,magaling|JJD,magaling,JJD
326,Natakpan|VBTS,Natakpan,VBTS
327,Pinakita|VBTS,Pinakita,VBTS
328,pangingisda|NNC,pangingisda,NNC
329,siyasatin|VBOF,siyasatin,VBOF
330,siya|PRS,siya,PRS
331,tapos|JJD,tapos,JJD
332,dumapong|VBTR_VBAF_CCP,dumapong,VBTR_VBAF_CCP
333,inayawan|VBTS,inayawan,VBTS
334,At|CCA,At,CCA
335,chainsaw|NNC,chainsaw,NNC
336,20|CDB,20,CDB
337,nakabubuti|VBTR,nakabubuti,VBTR
338,pumapasok|VBTR_VBAF,pumapasok,VBTR_VBAF
339,Bicol|NNP,Bicol,NNP
340,buhos|NNC,buhos,NNC
341,pong|PRS_CCP,pong,PRS_CCP
342,dibdib|NNC,dibdib,NNC
343,Wanda|NNP,Wanda,NNP
344,bilang|NNC,bilang,NNC
345,makagalaw|JJD,makagalaw,JJD
346,kalagayan|NNC,kalagayan,NNC
347,hinahabol|VBTR,hinahabol,VBTR
348,umakyat|VBAF,umakyat,VBAF
349,alab|NNC,alab,NNC
350,apat|CDB,apat,CDB
351,nagsibabaan|VBTS,nagsibabaan,VBTS
352,sampalok|NNC,sampalok,NNC
353,matamis|JJD,matamis,JJD
354,Buwan|NNP,Buwan,NNP
355,maagang|RBD_CCP,maagang,RBD_CCP
356,pinapaluto|VBTR,pinapaluto,VBTR
357,paborito|NNC,paborito,NNC
358,kay|DTP,kay,DTP
359,maghayskul|VBW,maghayskul,VBW
360,Pwedeng|RBT_CCP,Pwedeng,RBT_CCP
361,lilim|NNC,lilim,NNC
362,Kuya|NNC,Kuya,NNC
363,Narinig|VBTS,Narinig,VBTS
364,patayin|VBOF,patayin,VBOF
365,hangin|NNC,hangin,NNC
366,kape|NNC,kape,NNC
367,ating|PRSP_CCP,ating,PRSP_CCP
368,nakakatakot|VBTR,nakakatakot,VBTR
369,may|VBH,may,VBH
370,Pinapabihisan|VBTR,Pinapabihisan,VBTR
371,pandilig|JJD,pandilig,JJD
372,cream|FW,cream,FW
373,Sing|NNP,Sing,NNP
374,eskuwelahan|NNC,eskuwelahan,NNC
375,mamangka|VBW,mamangka,VBW
376,magkaroon|VBW,magkaroon,VBW
377,Binuldoser|FW,Binuldoser,FW
378,J.|NNPA,J.,NNPA
379,hinulog|VBTS,hinulog,VBTS
380,magbubuhay|VBW,magbubuhay,VBW
381,Parehas|JJD,Parehas,JJD
382,Tingnan|VBOF,Tingnan,VBOF
383,aayaw|VBTF,aayaw,VBTF
384,matiwasay|JJD,matiwasay,JJD
385,payapa|JJD,payapa,JJD
386,bigas|NNC,bigas,NNC
387,totoong|RBT_CCP,totoong,RBT_CCP
388,bintana|NNC,bintana,NNC
389,Tiningala|NNP,Tiningala,NNP
390,sala|NNC,sala,NNC
391,luha|NNC,luha,NNC
392,nariyan|VBTS,nariyan,VBTS
393,kasangkapan|NNC,kasangkapan,NNC
394,25|CDB,25,CDB
395,makapagtanim|VBW,makapagtanim,VBW
396,with|FW,with,FW
397,bagong|JJD_CCP,bagong,JJD_CCP
398,dalawa|CDB,dalawa,CDB
399,Nalubog|VBTS,Nalubog,VBTS
400,binatang|JJD_CCP,binatang,JJD_CCP
401,tao|NNC,tao,NNC
402,Ipagpaumanhin|NNP,Ipagpaumanhin,NNP
403,iyan|PRO,iyan,PRO
404,Gininaw|NNP,Gininaw,NNP
405,Dadalhin|VBTF_VBOF,Dadalhin,VBTF_VBOF
406,uminum|VBAF,uminum,VBAF
407,mam|NNC,mam,NNC
408,hugis|NNC,hugis,NNC
409,USAID|NNPA,USAID,NNPA
410,napakahigpit|JJCS_JJD,napakahigpit,JJCS_JJD
411,magpipiknik|VBW,magpipiknik,VBW
412,ΓÇ£|NNCA,ΓÇ£,NNCA
413,halo|JJD,halo,JJD
414,kakain|VBTF,kakain,VBTF
415,teksto|NNC,teksto,NNC
416,asa|NNC,asa,NNC
417,sinulid|NNC,sinulid,NNC
418,nadaig|VBTS,nadaig,VBTS
419,Gumapang|NNP_CCP,Gumapang,NNP_CCP
420,yun|PRO,yun,PRO
421,laki|NNC,laki,NNC
422,dilim|NNC,dilim,NNC
423,mababaw|JJD,mababaw,JJD
424,palayo|RBD,palayo,RBD
425,tindahan|NNC,tindahan,NNC
426,Subukan|VBOF,Subukan,VBOF
427,kumakain|VBTR_VBAF,kumakain,VBTR_VBAF
428,Lumutang|VBTR_VBAF,Lumutang,VBTR_VBAF
429,kama|NNC,kama,NNC
430,Pati|CCA,Pati,CCA
431,magawa|VBW,magawa,VBW
432,id|FW,id,FW
433,hinay|NNC,hinay,NNC
434,Hinihintay|VBTR,Hinihintay,VBTR
435,pupuntahan|RBD_CCP,pupuntahan,RBD_CCP
436,naiisip|VBTR,naiisip,VBTR
437,Ginagawa|VBTR,Ginagawa,VBTR
438,ilalim|JJD,ilalim,JJD
439,mauubos|FW,mauubos,FW
440,nakilalang|VBTS,nakilalang,VBTS
441,kidlat|NNC,kidlat,NNC
442,pinapakuha|VBTR,pinapakuha,VBTR
443,kwento|NNC,kwento,NNC
444,nakatatanda|VBTR,nakatatanda,VBTR
445,kumain|VBAF,kumain,VBAF
446,Diba|NNC,Diba,NNC
447,Sumimangot|NNC,Sumimangot,NNC
448,kaninang|NNC_CCP,kaninang,NNC_CCP
449,nagsimba|VBTS,nagsimba,VBTS
450,Ikakabit|VBOF,Ikakabit,VBOF
451,nami|PRI,nami,PRI
452,Natakot|VBTS,Natakot,VBTS
453,kagat|NNC,kagat,NNC
454,ΓÇÖ|CDB,ΓÇÖ,CDB
455,pinsala|NNC,pinsala,NNC
456,mangingibabaw|VBTR,mangingibabaw,VBTR
457,naging|VBTS,naging,VBTS
458,center|FW,center,FW
459,pagong|NNC,pagong,NNC
460,suka|NNC,suka,NNC
461,pagbabahagi|NNC,pagbabahagi,NNC
462,Pag|CCR,Pag,CCR
463,Reklamo|NNP,Reklamo,NNP
464,parang|CCT,parang,CCT
465,nag|CDB,nag,CDB
466,higante|RBD,higante,RBD
467,nagtatalon|VBTR,nagtatalon,VBTR
468,umugong|VBAF,umugong,VBAF
469,irap|VBOF,irap,VBOF
470,kalamansi|NNC,kalamansi,NNC
471,Totoo|RBT,Totoo,RBT
472,Dagdagan|VBTF,Dagdagan,VBTF
473,Natutuwa|VBTS,Natutuwa,VBTS
474,likod|NNC,likod,NNC
475,umang|NNC_CCP,umang,NNC_CCP
476,School|NNP,School,NNP
477,marinig|VBW,marinig,VBW
478,uling|NNC,uling,NNC
479,iyong|PRSP_CCP,iyong,PRSP_CCP
480,ngayong|RBW_CCP,ngayong,RBW_CCP
481,simpleng|JJD_CCP,simpleng,JJD_CCP
482,pupunta|VBTF,pupunta,VBTF
483,Matagal|JJD,Matagal,JJD
484,gitna|JJD,gitna,JJD
485,papuntang|RBL_CCP,papuntang,RBL_CCP
486,umindak|VBTR_VBAF,umindak,VBTR_VBAF
487,gawin|VBOF,gawin,VBOF
488,tumahol|VBAF,tumahol,VBAF
489,dahang|NNC_CCP,dahang,NNC_CCP
490,pupuluputan|RBD,pupuluputan,RBD
491,tinutulungan|VBTR,tinutulungan,VBTR
492,and|FW,and,FW
493,Isda|NNC,Isda,NNC
494,kanina|RBW,kanina,RBW
495,berdeng|JJD_CCP,berdeng,JJD_CCP
496,hapong|NNC_CCP,hapong,NNC_CCP
497,halakhakan|NNC,halakhakan,NNC
498,kuryente|NNC,kuryente,NNC
499,kaniya|PRSP,kaniya,PRSP
500,maaga|JJD,maaga,JJD
501,Basic|NNP,Basic,NNP
502,na|RBI,na,RBI
503,eroplano|NNC,eroplano,NNC
504,Dapat|VBS,Dapat,VBS
505,butil|NNC,butil,NNC
506,inaabot|VBTR,inaabot,VBTR
507,tatlo|CDB,tatlo,CDB
508,isinuksok|VBTR,isinuksok,VBTR
509,dagat|NNC,dagat,NNC
510,marami|PRI,marami,PRI
511,ayusin|VBOF,ayusin,VBOF
512,alaga|NNC,alaga,NNC
513,pagkatapos|VBW,pagkatapos,VBW
514,opo|NNC,opo,NNC
515,iyo|PRSP,iyo,PRSP
516,makalaro|VBW,makalaro,VBW
517,Lola|NNP,Lola,NNP
518,Isa|CDB,Isa,CDB
519,pagtatarabahuhan|NNC,pagtatarabahuhan,NNC
520,suwayin|VBOF,suwayin,VBOF
521,pag|CCR,pag,CCR
522,pigura|NNC,pigura,NNC
523,Ping|FW,Ping,FW
524,pisara|NNC,pisara,NNC
525,Ayokong|NNP_CCP,Ayokong,NNP_CCP
526,naming|PRP_CCP,naming,PRP_CCP
527,pagbukas|NNC,pagbukas,NNC
528,naaamoy|VBTS,naaamoy,VBTS
529,papasok|VBTF,papasok,VBTF
530,Lunes|NNP,Lunes,NNP
531,nagyakap|VBTS,nagyakap,VBTS
532,gulong|NNC,gulong,NNC
533,Laking|JJD_CCP,Laking,JJD_CCP
534,Umindak|NNP,Umindak,NNP
535,Nora|NNP,Nora,NNP
536,nandun|VBTS,nandun,VBTS
537,maging|VBW,maging,VBW
538,matututuhan|VBTF,matututuhan,VBTF
539,Maglaro|VBAF,Maglaro,VBAF
540,Nahiya|VBTS,Nahiya,VBTS
541,Huwebes|NNP,Huwebes,NNP
542,kalaban|NNC,kalaban,NNC
543,Masyadong|JJCS_CCP,Masyadong,JJCS_CCP
544,lantang|NNC_CCP,lantang,NNC_CCP
545,Magpapatulong|NNC_CCP,Magpapatulong,NNC_CCP
546,mamimingwit|VBW,mamimingwit,VBW
547,Tutulong|VBTF,Tutulong,VBTF
548,Pagsisisihan|NNP,Pagsisisihan,NNP
549,Apo|NNP,Apo,NNP
550,hardin|NNC,hardin,NNC
551,t|NNCA,t,NNCA
552,makasama|VBW,makasama,VBW
553,Gagawin|VBTF,Gagawin,VBTF
554,ΓÇÖ|NNCA,ΓÇÖ,NNCA
555,Tintin|NNP,Tintin,NNP
556,Sa|CCT,Sa,CCT
557,humihip|VBTR_VBAF,humihip,VBTR_VBAF
558,maganda|JJD,maganda,JJD
559,alukaba|NNC,alukaba,NNC
560,Nakita|VBTS,Nakita,VBTS
561,Mayroon|VBW,Mayroon,VBW
562,pabilis|RBD,pabilis,RBD
563,pasilyo|NNC,pasilyo,NNC
564,pagputok|NNC,pagputok,NNC
565,Labis|JJCS,Labis,JJCS
566,kasing|JJCC,kasing,JJCC
567,Papasok|NNP,Papasok,NNP
568,sahig|NNC,sahig,NNC
569,dumating|VBAF,dumating,VBAF
570,Mama|NNC,Mama,NNC
571,kung|RBK,kung,RBK
572,pating|NNC,pating,NNC
573,kapahamakan|NNC,kapahamakan,NNC
574,katulad|JJC,katulad,JJC
575,pangloloko|JJD,pangloloko,JJD
576,dala|JJD,dala,JJD
