,tokens,lemma,postag
577,Tahimik|JJD,Tahimik,JJD
578,Maghain|VBOF,Maghain,VBOF
579,yon|PRO,yon,PRO
580,ng|CCB,ng,CCB
581,Magkulong|VBW,Magkulong,VBW
582,nagkukuwento|VBTR,nagkukuwento,VBTR
583,tabagak|NNC,tabagak,NNC
584,malundag|VBW,malundag,VBW
585,keso|NNC,keso,NNC
586,State|NNP,State,NNP
587,nagsimulang|RBD_CCP,nagsimulang,RBD_CCP
588,gagawin|VBTF,gagawin,VBTF
589,kamukha|JJD,kamukha,JJD
590,nang|RBD,nang,RBD
591,katawan|NNC,katawan,NNC
592,tinatago|VBTR,tinatago,VBTR
593,haba|NNC,haba,NNC
594,Mag|CDB,Mag,CDB
595,bata|JJD,bata,JJD
596,kumidlat|NNC,kumidlat,NNC
597,kinatatakutan|VBTR,kinatatakutan,VBTR
598,naku|VBTS,naku,VBTS
599,Huminto|VBAF,Huminto,VBAF
600,Nang|RBW,Nang,RBW
601,pagkakaiba|NNC,pagkakaiba,NNC
602,obrang|NNC_CCP,obrang,NNC_CCP
603,kanyang|PRSP_CCP,kanyang,PRSP_CCP
604,silang|PRP_CCP,silang,PRP_CCP
605,biglang|JJD_CCP,biglang,JJD_CCP
606,lobong|JJD_CCP,lobong,JJD_CCP
607,Hahaha|NNP,Hahaha,NNP
608,lalong|JJCC_CCP,lalong,JJCC_CCP
609,Bukas|JJD,Bukas,JJD
610,kagatin|FW,kagatin,FW
611,aayos|FW,aayos,FW
612,Nilagyan|VBTS,Nilagyan,VBTS
613,nun|NNCA,nun,NNCA
614,buhay|NNC,buhay,NNC
615,nawala|VBTS,nawala,VBTS
616,Nakikisabay|VBTR,Nakikisabay,VBTR
617,Halika|NNP,Halika,NNP
618,magkamalay|VBW,magkamalay,VBW
619,pamamagitan|NNC,pamamagitan,NNC
620,Mabubuhay|VBTF,Mabubuhay,VBTF
621,biglang|RBD_CCP,biglang,RBD_CCP
622,nakaramdam|VBTS,nakaramdam,VBTS
623,Naghihingalong|VBTR_CCP,Naghihingalong,VBTR_CCP
624,ngumingiti|VBTR,ngumingiti,VBTR
625,bisikleta|NNC,bisikleta,NNC
626,Nakikita|VBTR,Nakikita,VBTR
627,masakit|JJD,masakit,JJD
628,mamamasyal|JJD,mamamasyal,JJD
629,laging|RBD_CCP,laging,RBD_CCP
630,mundo|NNC,mundo,NNC
631,tanda|NNC,tanda,NNC
632,paninda|NNC,paninda,NNC
633,Naaamoy|VBTS,Naaamoy,VBTS
634,tugon|NNC,tugon,NNC
635,kapag|CCR,kapag,CCR
636,nagbabago|VBTR,nagbabago,VBTR
637,sana|VBS,sana,VBS
638,Ang|DTC,Ang,DTC
639,Idrowing|NNP,Idrowing,NNP
640,lalangoy|VBTF,lalangoy,VBTF
641,maya|NNC,maya,NNC
642,masaya|JJD,masaya,JJD
643,Umiiyak|VBTR_VBAF,Umiiyak,VBTR_VBAF
644,talon|NNC,talon,NNC
645,putol|JJD,putol,JJD
646,paligid|JJD,paligid,JJD
647,nagkukuwentuhan|VBTR,nagkukuwentuhan,VBTR
648,sinusubuan|VBTR_VBOF,sinusubuan,VBTR_VBOF
649,Department|NNP,Department,NNP
650,grupo|NNC,grupo,NNC
651,kumulog|JJD,kumulog,JJD
652,Zoo|NNP,Zoo,NNP
653,dumadausdos|VBTR_VBAF,dumadausdos,VBTR_VBAF
654,aayos|NNC,aayos,NNC
655,kahoy|NNC,kahoy,NNC
656,kaibigang|NNC_CCP,kaibigang,NNC_CCP
657,Nalungkot|VBTS,Nalungkot,VBTS
658,iba|PRI,iba,PRI
659,ipagbibili|VBOB,ipagbibili,VBOB
660,tularan|NNC,tularan,NNC
661,Sumasayaw|VBTR,Sumasayaw,VBTR
662,6|CDB,6,CDB
663,bumigat|VBAF,bumigat,VBAF
664,toyo|NNC,toyo,NNC
665,dali|JJD,dali,JJD
666,ikinabubuhay|NNC,ikinabubuhay,NNC
667,gastusin|VBOF,gastusin,VBOF
668,naaayos|VBTR,naaayos,VBTR
669,ganang|JJD_CCP,ganang,JJD_CCP
670,ibinubuhos|VBTR,ibinubuhos,VBTR
671,Lumitaw|VBAF,Lumitaw,VBAF
672,Biglang|RBD_CCP,Biglang,RBD_CCP
673,bawat|PRI,bawat,PRI
674,kasya|NNC,kasya,NNC
675,galamay|NNC,galamay,NNC
676,Inay|NNP,Inay,NNP
677,dali|NNC,dali,NNC
678,ΓÇö|PMS,ΓÇö,PMS
679,nagtanim|VBTS,nagtanim,VBTS
680,Duuuumm|NNP,Duuuumm,NNP
681,papasok|RBD,papasok,RBD
682,nagsipag|VBTS,nagsipag,VBTS
683,naghintay|VBTS,naghintay,VBTS
684,ganda|NNC,ganda,NNC
685,Magugustuhan|VBTF,Magugustuhan,VBTF
686,mabubulunan|VBTF,mabubulunan,VBTF
687,nainum|VBTS,nainum,VBTS
688,pagmamahal|NNC,pagmamahal,NNC
689,ganun|PRC,ganun,PRC
690,Namasyal|NNP,Namasyal,NNP
691,gagabay|VBTF,gagabay,VBTF
692,shell|FW,shell,FW
693,Lilly|FW,Lilly,FW
694,Matatagpuan|VBTF,Matatagpuan,VBTF
695,maduming|JJD_CCP,maduming,JJD_CCP
696,higit|JJCC,higit,JJCC
697,nasusunod|VBTR,nasusunod,VBTR
698,Tamarindus|NNP,Tamarindus,NNP
699,Naubusan|VBTS,Naubusan,VBTS
700,License|NNP,License,NNP
701,elesi|NNC,elesi,NNC
702,Talagang|RBT_CCP,Talagang,RBT_CCP
703,Nagiging|VBTR,Nagiging,VBTR
704,nalang|VBTS_CCP,nalang,VBTS_CCP
705,Mag|NNP,Mag,NNP
706,klasrum|NNC,klasrum,NNC
707,Tinitigan|VBOF,Tinitigan,VBOF
708,Kakay|NNP,Kakay,NNP
709,tatalunin|VBTF,tatalunin,VBTF
710,lungsod|NNC,lungsod,NNC
711,Krassshh|NNP,Krassshh,NNP
712,lupa|NNC,lupa,NNC
713,nakatira|VBTS,nakatira,VBTS
714,ginising|VBOF,ginising,VBOF
715,mangolekta|VBW,mangolekta,VBW
716,Management|NNP,Management,NNP
717,Hinabol|VBOF,Hinabol,VBOF
718,lumipad|VBAF,lumipad,VBAF
719,umulan|VBAF,umulan,VBAF
720,Mina|NNP,Mina,NNP
721,gumaling|VBAF,gumaling,VBAF
722,Iyan|VBTS_VBOF,Iyan,VBTS_VBOF
723,nasasabik|VBTR,nasasabik,VBTR
724,id|NNCA,id,NNCA
725,Nagpalipat|NNP,Nagpalipat,NNP
726,kapangyarihan|NNC,kapangyarihan,NNC
727,Dun|NNC,Dun,NNC
728,butones|NNC,butones,NNC
729,nakatitig|VBTS,nakatitig,VBTS
730,nakakatakot|RBD,nakakatakot,RBD
731,Payat|JJD,Payat,JJD
732,nagtampisaw|VBTR,nagtampisaw,VBTR
733,lumangoy|VBAF,lumangoy,VBAF
734,mapag|VBW,mapag,VBW
735,Nasindak|VBTS,Nasindak,VBTS
736,panghuhuli|NNC,panghuhuli,NNC
737,raw|RBI,raw,RBI
738,ligtas|JJD,ligtas,JJD
739,pagkatapos|RBW,pagkatapos,RBW
740,pagkain|NNC,pagkain,NNC
741,Nakinig|VBTS,Nakinig,VBTS
742,Tulad|JJC,Tulad,JJC
743,nagpapansinan|VBTR,nagpapansinan,VBTR
744,niyo|PRP,niyo,PRP
745,kawawa|JJD,kawawa,JJD
746,kwak|NNC,kwak,NNC
747,nangungulila|VBTR,nangungulila,VBTR
748,tigil|NNC,tigil,NNC
749,Pesigan|NNP,Pesigan,NNP
750,field|FW,field,FW
751,at|CCA,at,CCA
752,papelastik|NNC,papelastik,NNC
753,inakyat|VBTS,inakyat,VBTS
754,Nagtago|VBTS,Nagtago,VBTS
755,sari|NNC,sari,NNC
756,kaisa|NNC,kaisa,NNC
757,namamagha|VBTR,namamagha,VBTR
758,kakainin|VBTF,kakainin,VBTF
759,Sinilip|VBTS,Sinilip,VBTS
760,alon|NNC,alon,NNC
761,Nanaginip|VBTR,Nanaginip,VBTR
762,gabi|NNC,gabi,NNC
763,kalaruin|VBOF,kalaruin,VBOF
764,aaral|FW,aaral,FW
765,Nandito|VBTS,Nandito,VBTS
766,niyakap|VBTS,niyakap,VBTS
767,nung|RBW_CCP,nung,RBW_CCP
768,gawain|NNC,gawain,NNC
769,mamingwit|NNC,mamingwit,NNC
770,pahiwatig|NNC,pahiwatig,NNC
771,Ngunit|CCT,Ngunit,CCT
772,humila|VBAF,humila,VBAF
773,patak|NNC,patak,NNC
774,sabay|JJD,sabay,JJD
775,ahas|NNC,ahas,NNC
776,tinangay|VBTS,tinangay,VBTS
777,kabundukan|NNC,kabundukan,NNC
778,ginagawa|VBTR,ginagawa,VBTR
779,Tumulong|VBAF,Tumulong,VBAF
780,Tutulungan|JJD,Tutulungan,JJD
781,diyan|PRL,diyan,PRL
782,humahampas|VBTR_VBAF,humahampas,VBTR_VBAF
783,Sinabayan|VBOF,Sinabayan,VBOF
784,tila|RBM,tila,RBM
785,yang|PRO,yang,PRO
786,tumanggap|VBAF,tumanggap,VBAF
787,Tayo|NNP,Tayo,NNP
788,liwanag|NNC,liwanag,NNC
789,Kinagat|VBTS,Kinagat,VBTS
790,Namuhay|VBTS,Namuhay,VBTS
791,nandiyan|VBTS,nandiyan,VBTS
792,paglangoy|NNC,paglangoy,NNC
793,namasyal|VBTS,namasyal,VBTS
794,ninyo|PRP,ninyo,PRP
795,namumuhay|VBTR,namumuhay,VBTR
796,pagdrowing|NNC,pagdrowing,NNC
797,umuulan|VBTR_VBAF,umuulan,VBTR_VBAF
798,pataas|JJD,pataas,JJD
799,susi|NNC,susi,NNC
800,paglaki|VBW,paglaki,VBW
801,makintab|JJD,makintab,JJD
802,Tumango|NNP,Tumango,NNP
803,puso|NNC,puso,NNC
804,naninirahan|VBTR,naninirahan,VBTR
805,Talisay|NNP,Talisay,NNP
806,napangiti|VBTS,napangiti,VBTS
807,implemented|FW,implemented,FW
808,pagdating|VBW,pagdating,VBW
809,Laguda|NNP,Laguda,NNP
810,Sama|NNP,Sama,NNP
811,mang|RBI_CCP,mang,RBI_CCP
812,Libot|NNP,Libot,NNP
813,malubha|JJD,malubha,JJD
814,nakamit|VBTS,nakamit,VBTS
815,Nag|PRSP_CCP,Nag,PRSP_CCP
816,taas|NNC,taas,NNC
817,Sumagang|NNC,Sumagang,NNC
818,Dayday|NNP,Dayday,NNP
819,to|FW,to,FW
820,dahang|RBD_CCP,dahang,RBD_CCP
821,Wala|VBN,Wala,VBN
822,katribo|NNC,katribo,NNC
823,nagyaya|VBTS,nagyaya,VBTS
824,Kaibigan|JJD,Kaibigan,JJD
825,nalungkot|VBTS,nalungkot,VBTS
826,kailan|RBQ,kailan,RBQ
827,pagmamatigas|VBW,pagmamatigas,VBW
828,umang|FW,umang,FW
829,Tila|RBM,Tila,RBM
830,tutularan|VBTF,tutularan,VBTF
831,pagtawag|NNC,pagtawag,NNC
832,sapa|NNC,sapa,NNC
833,ΓÇ¥|NNPA,ΓÇ¥,NNPA
834,ikinulong|VBTS,ikinulong,VBTS
835,magtrabaho|VBAF,magtrabaho,VBAF
836,panangga|NNC,panangga,NNC
837,nakatatanda|NNC,nakatatanda,NNC
838,pinakamagagandang|JJCS_JJD_CCP,pinakamagagandang,JJCS_JJD_CCP
839,Sinuot|VBOF,Sinuot,VBOF
840,magsusulat|VBTF,magsusulat,VBTF
841,paano|RBQ,paano,RBQ
842,din|RBI,din,RBI
843,Nagmamadali|VBTS,Nagmamadali,VBTS
844,heto|FW,heto,FW
845,Kingan|NNP,Kingan,NNP
846,natitirang|VBTR_CCP,natitirang,VBTR_CCP
847,damo|NNC,damo,NNC
848,bago|RBW,bago,RBW
849,labador|FW,labador,FW
850,hanger|FW,hanger,FW
851,magtago|VBW,magtago,VBW
852,the|FW,the,FW
853,Cimarron|NNP,Cimarron,NNP
854,Pinipigilan|VBTR,Pinipigilan,VBTR
855,nahimasmasan|VBTS,nahimasmasan,VBTS
856,nagpakilala|VBTS,nagpakilala,VBTS
857,lumakas|VBAF,lumakas,VBAF
858,Inamoy|VBTS,Inamoy,VBTS
859,kanin|NNC,kanin,NNC
860,tama|JJD,tama,JJD
861,kumakaway|VBTR_VBAF,kumakaway,VBTR_VBAF
862,ΓÇÖ|FW,ΓÇÖ,FW
863,nagpapatawag|VBTR,nagpapatawag,VBTR
864,Pagkatapos|VBW,Pagkatapos,VBW
865,pinagkukunan|VBTR_VBRF,pinagkukunan,VBTR_VBRF
866,managinip|NNC,managinip,NNC
867,balikat|NNC,balikat,NNC
868,nakapikit|RBD,nakapikit,RBD
869,Ping|NNP,Ping,NNP
870,itsura|NNC,itsura,NNC
871,nalalanta|VBTR,nalalanta,VBTR
872,Sino|PRQ,Sino,PRQ
873,mabuhay|VBW,mabuhay,VBW
874,Anila|NNP,Anila,NNP
875,aalala|VBTF,aalala,VBTF
876,Kinakailangan|VBTR,Kinakailangan,VBTR
877,bumabalot|VBTR_VBAF,bumabalot,VBTR_VBAF
878,paaralan|NNC,paaralan,NNC
879,Limon|NNP,Limon,NNP
880,nagsilabasan|VBTS,nagsilabasan,VBTS
881,Neriza|NNP,Neriza,NNP
882,Diretso|JJD,Diretso,JJD
883,kaba|NNC,kaba,NNC
884,inawit|VBOF,inawit,VBOF
885,Aw|NNC,Aw,NNC
886,Oyayi|NNP,Oyayi,NNP
887,Magkakatabi|VBW,Magkakatabi,VBW
888,nagtago|VBTS,nagtago,VBTS
889,daling|RBD_CCP,daling,RBD_CCP
890,sumubok|VBAF,sumubok,VBAF
891,Tumakbo|VBAF,Tumakbo,VBAF
892,payagan|VBOF,payagan,VBOF
893,Sana|VBS,Sana,VBS
894,RRIINNGG|NNP,RRIINNGG,NNP
895,nabangga|VBTR,nabangga,VBTR
896,pagsang|NNC,pagsang,NNC
897,CANVAS|NNPA,CANVAS,NNPA
898,Umalis|VBAF,Umalis,VBAF
899,pipiliin|VBTF,pipiliin,VBTF
900,nagpapakita|VBTR,nagpapakita,VBTR
901,Sige|FW,Sige,FW
902,Sayaw|NNC,Sayaw,NNC
903,namamansin|VBTR,namamansin,VBTR
904,Tumalikod|VBAF,Tumalikod,VBAF
905,magpapatuloy|VBTR_VBAF,magpapatuloy,VBTR_VBAF
906,aba|FW,aba,FW
907,kaingero|NNC,kaingero,NNC
908,hapon|NNC,hapon,NNC
909,batik|NNC,batik,NNC
910,makinig|VBW,makinig,VBW
911,tinuruan|VBTS,tinuruan,VBTS
912,pamumuhay|NNC,pamumuhay,NNC
913,papalayo|RBD,papalayo,RBD
914,matitinik|JJD,matitinik,JJD
915,pampatulog|JJD,pampatulog,JJD
916,kurap|NNC,kurap,NNC
917,Nakakatulog|VBTR,Nakakatulog,VBTR
918,beses|NNC,beses,NNC
919,Titingala|VBTS,Titingala,VBTS
920,bilimbi|FW,bilimbi,FW
921,dinampot|VBTS,dinampot,VBTS
922,bigla|RBD,bigla,RBD
923,nadagdagan|VBTS,nadagdagan,VBTS
924,koronang|NNC_CCP,koronang,NNC_CCP
925,hinay|JJD,hinay,JJD
926,niligpit|VBOF,niligpit,VBOF
927,Hanggang|RBW,Hanggang,RBW
928,bagay|NNC,bagay,NNC
929,mangingisda|NNC,mangingisda,NNC
930,taon|NNC,taon,NNC
931,A|NNPA,A,NNPA
932,pugitang|NNC_CCP,pugitang,NNC_CCP
933,bituin|NNC,bituin,NNC
934,ibinabalik|VBTR,ibinabalik,VBTR
935,as|FW,as,FW
936,tumakbo|VBAF,tumakbo,VBAF
937,putulin|VBOF,putulin,VBOF
938,pangalan|NNC,pangalan,NNC
939,Mario|NNP,Mario,NNP
940,Bitawan|VBOF,Bitawan,VBOF
941,pugita|NNC,pugita,NNC
942,sina|DTPP,sina,DTPP
943,tunog|NNC,tunog,NNC
944,magagawa|VBTF,magagawa,VBTF
945,hiwalay|JJD,hiwalay,JJD
946,paalam|NNC,paalam,NNC
947,Citrofortunella|NNP,Citrofortunella,NNP
948,kumausap|VBAF,kumausap,VBAF
949,siyato|NNC,siyato,NNC
950,tora|RBD,tora,RBD
951,Supervisor|NNP,Supervisor,NNP
952,karanasan|NNC,karanasan,NNC
953,Nagtawanan|VBTR,Nagtawanan,VBTR
954,nina|DTPP,nina,DTPP
955,maghanap|RBD,maghanap,RBD
956,Maliit|JJD,Maliit,JJD
957,itlog|NNC,itlog,NNC
958,nagtutulungan|VBTR,nagtutulungan,VBTR
959,Nasaksihan|VBTS,Nasaksihan,VBTS
960,kakilala|JJD,kakilala,JJD
961,paglampas|NNC,paglampas,NNC
962,Solong|JJD_CCP,Solong,JJD_CCP
963,Dumadausdos|NNC,Dumadausdos,NNC
964,Hari|NNP,Hari,NNP
965,ibinuhos|VBOF,ibinuhos,VBOF
966,Sigurado|NNP,Sigurado,NNP
967,daling|FW,daling,FW
968,alimasag|NNC,alimasag,NNC
969,nasaan|JJD,nasaan,JJD
970,kita|NNC,kita,NNC
971,nakikita|VBTR,nakikita,VBTR
972,nakasagot|VBTS,nakasagot,VBTS
973,sunod|JJD,sunod,JJD
974,handa|JJD,handa,JJD
975,Yehey|NNP,Yehey,NNP
976,umalis|VBAF,umalis,VBAF
977,Naipit|VBTS,Naipit,VBTS
978,andito|RBR,andito,RBR
979,!|PMQ,!,PMQ
980,Bukid|NNP,Bukid,NNP
981,pinapanood|VBTR,pinapanood,VBTR
982,insekto|NNC,insekto,NNC
983,tinanong|VBOF,tinanong,VBOF
984,ibalik|VBOF,ibalik,VBOF
985,Tunay|RBT,Tunay,RBT
986,katawang|NNC_CCP,katawang,NNC_CCP
987,hinahanap|VBTR,hinahanap,VBTR
988,papasok|NNC,papasok,NNC
989,Pagkatapos|RBW,Pagkatapos,RBW
990,mapakali|VBW,mapakali,VBW
991,Magkakaroon|VBTF,Magkakaroon,VBTF
992,nakaligtas|VBTS,nakaligtas,VBTS
993,mapigilang|RBD_CCP,mapigilang,RBD_CCP
994,kabilang|CCB,kabilang,CCB
995,Tinaniman|VBTS,Tinaniman,VBTS
996,alerto|JJD,alerto,JJD
997,papalapit|JJD,papalapit,JJD
998,Napaisip|VBTS,Napaisip,VBTS
999,Nabasag|VBTS,Nabasag,VBTS
1000,alagang|NNC_CCP,alagang,NNC_CCP
1001,madala|VBW,madala,VBW
1002,baha|NNC,baha,NNC
1003,nakakita|VBTS,nakakita,VBTS
1004,Hayaan|NNP,Hayaan,NNP
1005,gilid|JJD,gilid,JJD
1006,mag|VBW,mag,VBW
1007,tapos|RBW,tapos,RBW
1008,nagkonsensiya|VBTS,nagkonsensiya,VBTS
1009,Napansin|VBTS,Napansin,VBTS
1010,kuha|NNC,kuha,NNC
1011,nigo|NNC,nigo,NNC
1012,Na|CCP,Na,CCP
1013,binata|NNC,binata,NNC
1014,itayo|VBOF,itayo,VBOF
1015,tahanan|NNC,tahanan,NNC
1016,gumagapang|VBTR_VBAF,gumagapang,VBTR_VBAF
1017,nagsisimula|VBTR,nagsisimula,VBTR
1018,nakadrowing|VBTS,nakadrowing,VBTS
1019,magagamit|VBTF,magagamit,VBTF
1020,nababaliw|VBTR,nababaliw,VBTR
1021,alikabok|NNC,alikabok,NNC
1022,Elementary|NNP,Elementary,NNP
1023,kalsada|NNC,kalsada,NNC
1024,pinasama|VBOF,pinasama,VBOF
1025,mama|NNC,mama,NNC
1026,masimulan|VBW,masimulan,VBW
1027,Doon|PRL,Doon,PRL
1028,Kinalma|VBTS,Kinalma,VBTS
1029,korona|NNC,korona,NNC
1030,mong|PRS_CCP,mong,PRS_CCP
1031,Nakatakas|VBTS,Nakatakas,VBTS
1032,Nadamay|VBTS,Nadamay,VBTS
1033,Pinagsabihan|VBRF,Pinagsabihan,VBRF
1034,Maasikaso|VBTF,Maasikaso,VBTF
1035,Di|RBF,Di,RBF
1036,kanilang|PRSP_CCP,kanilang,PRSP_CCP
1037,Kalmado|JJD,Kalmado,JJD
1038,Lumangoy|JJD,Lumangoy,JJD
1039,Advancing|NNP,Advancing,NNP
1040,gustong|VBS_CCP,gustong,VBS_CCP
1041,Mam|NNC,Mam,NNC
1042,agad|RBW,agad,RBW
1043,Bakit|PRQ,Bakit,PRQ
1044,lumalabas|VBTR_VBAF,lumalabas,VBTR_VBAF
1045,kabahayan|NNC,kabahayan,NNC
1046,malalawak|JJD,malalawak,JJD
1047,Gugurang|NNC_CCP,Gugurang,NNC_CCP
1048,nagpaalam|VBTS,nagpaalam,VBTS
1049,Lingon|NNP,Lingon,NNP
1050,nangyari|VBTS,nangyari,VBTS
1051,ΓÇÖ|NNC,ΓÇÖ,NNC
1052,hiling|NNC,hiling,NNC
1053,10|CDB,10,CDB
1054,tiningnan|VBOF,tiningnan,VBOF
1055,Umupo|NNP,Umupo,NNP
1056,Tulungan|VBOF,Tulungan,VBOF
1057,Pula|NNP,Pula,NNP
1058,Pwede|RBT,Pwede,RBT
1059,inuming|NNC,inuming,NNC
1060,noon|RBW,noon,RBW
1061,pinakamalaking|JJCS_JJD_CCP,pinakamalaking,JJCS_JJD_CCP
1062,Ayoko|NNP,Ayoko,NNP
1063,;|PMSC,;,PMSC
1064,ngnakatatanda|FW,ngnakatatanda,FW
1065,Amatorio|NNP,Amatorio,NNP
1066,bawal|JJD,bawal,JJD
1067,makapaniwala|VBTF,makapaniwala,VBTF
1068,pinagulong|VBRF_CCP,pinagulong,VBRF_CCP
1069,nakabitin|VBTS,nakabitin,VBTS
1070,paliwanag|NNC,paliwanag,NNC
1071,taguan|NNC,taguan,NNC
1072,gulang|NNC,gulang,NNC
1073,gumawa|VBAF,gumawa,VBAF
1074,muli|RBW,muli,RBW
1075,bulawbulaw|NNC,bulawbulaw,NNC
1076,Araw|NNP,Araw,NNP
1077,pitong|JJN_CCP,pitong,JJN_CCP
1078,bato|NNC,bato,NNC
1079,Nais|VBS,Nais,VBS
1080,Naunahan|VBTS,Naunahan,VBTS
1081,Baka|NNP,Baka,NNP
1082,sapatos|NNC,sapatos,NNC
1083,Ewan|NNC,Ewan,NNC
1084,sisidlan|NNC,sisidlan,NNC
1085,Nalulungkot|VBTR,Nalulungkot,VBTR
1086,Makalipas|VBW,Makalipas,VBW
1087,nalantang|VBTS_CCP,nalantang,VBTS_CCP
1088,narinig|VBTS,narinig,VBTS
1089,bote|NNC,bote,NNC
1090,sanang|VBS_CCP,sanang,VBS_CCP
1091,naintindihan|VBTS,naintindihan,VBTS
1092,Larawan|NNC,Larawan,NNC
1093,Duguduuuu|NNP,Duguduuuu,NNP
1094,Madulas|NNP,Madulas,NNP
1095,pwede|RBT,pwede,RBT
1096,lumilingon|VBTR_VBAF,lumilingon,VBTR_VBAF
1097,matulis|JJD,matulis,JJD
1098,Ilang|PRQ_CCP,Ilang,PRQ_CCP
1099,-|PMS,-,PMS
1100,nagsiliparan|VBTS,nagsiliparan,VBTS
1101,makitang|VBW_CCP,makitang,VBW_CCP
1102,Kasama|CCB,Kasama,CCB
1103,lolo|NNC,lolo,NNC
1104,ng|RBD,ng,RBD
1105,Oo|RBT,Oo,RBT
1106,magtutupi|VBAF,magtutupi,VBAF
1107,utos|NNC,utos,NNC
1108,pagkakaibigan|NNC,pagkakaibigan,NNC
1109,nakitang|VBTS_CCP,nakitang,VBTS_CCP
1110,Hinagilap|NNP,Hinagilap,NNP
1111,basagin|VBOF,basagin,VBOF
1112,palaging|JJD_CCP,palaging,JJD_CCP
1113,unang|JJN_CCP,unang,JJN_CCP
1114,Pinulot|VBTS,Pinulot,VBTS
1115,ΓÇÿ|PMS,ΓÇÿ,PMS
1116,ngipin|NNC,ngipin,NNC
1117,malagkit|JJD,malagkit,JJD
1118,papunta|RBL,papunta,RBL
1119,Buga|NNP,Buga,NNP
1120,mahinang|JJD_CCP,mahinang,JJD_CCP
1121,niyan|PRO,niyan,PRO
1122,Napakaaga|VBTS,Napakaaga,VBTS
1123,napasigaw|VBTS,napasigaw,VBTS
1124,titser|NNC,titser,NNC
1125,tubig|NNC,tubig,NNC
1126,munang|RBW_CCP,munang,RBW_CCP
1127,Nagtipon|VBTS,Nagtipon,VBTS
1128,anino|NNC,anino,NNC
1129,umupo|VBAF,umupo,VBAF
